run_id,model,backend,fold,seed,decision_rule,arm,n,macro_f1,accuracy,delta_vs_full
unet_r34-f0-s1,unet_r34,semantic,0,1,coral,full,186,1.0,1.0,0.0
unet_r34-f0-s1,unet_r34,semantic,0,1,coral,tyre_only,186,1.0,1.0,0.0
unet_r34-f0-s1,unet_r34,semantic,0,1,coral,tread_only,186,1.0,1.0,0.0
unet_r34-f0-s1,unet_r34,semantic,0,1,coral,tyre_tread_equal,186,1.0,1.0,0.0
unet_r34-f0-s1,unet_r34,semantic,0,1,coral,full_tyre_tread_equal,186,1.0,1.0,0.0
unet_r34-f0-s2,unet_r34,semantic,0,2,coral,full,186,1.0,1.0,0.0
unet_r34-f0-s2,unet_r34,semantic,0,2,coral,tyre_only,186,1.0,1.0,0.0
unet_r34-f0-s2,unet_r34,semantic,0,2,coral,tread_only,186,1.0,1.0,0.0
unet_r34-f0-s2,unet_r34,semantic,0,2,coral,tyre_tread_equal,186,1.0,1.0,0.0
unet_r34-f0-s2,unet_r34,semantic,0,2,coral,full_tyre_tread_equal,186,1.0,1.0,0.0
unet_r34-f0-s3,unet_r34,semantic,0,3,coral,full,186,1.0,1.0,0.0
unet_r34-f0-s3,unet_r34,semantic,0,3,coral,tyre_only,186,1.0,1.0,0.0
unet_r34-f0-s3,unet_r34,semantic,0,3,coral,tread_only,186,1.0,1.0,0.0
unet_r34-f0-s3,unet_r34,semantic,0,3,coral,tyre_tread_equal,186,1.0,1.0,0.0
unet_r34-f0-s3,unet_r34,semantic,0,3,coral,full_tyre_tread_equal,186,1.0,1.0,0.0
unet_r34-f1-s1,unet_r34,semantic,1,1,coral,full,128,0.6203703703703703,0.84375,0.0
unet_r34-f1-s1,unet_r34,semantic,1,1,coral,tyre_only,128,0.6203703703703703,0.84375,0.0
unet_r34-f1-s1,unet_r34,semantic,1,1,coral,tread_only,128,0.6203703703703703,0.84375,0.0
unet_r34-f1-s1,unet_r34,semantic,1,1,coral,tyre_tread_equal,128,0.6203703703703703,0.84375,0.0
unet_r34-f1-s1,unet_r34,semantic,1,1,coral,full_tyre_tread_equal,128,0.6203703703703703,0.84375,0.0
unet_r34-f1-s2,unet_r34,semantic,1,2,coral,full,128,0.7533647706061499,0.84375,0.0
unet_r34-f1-s2,unet_r34,semantic,1,2,coral,tyre_only,128,0.2946608946608946,0.375,-0.4587038759452553
unet_r34-f1-s2,unet_r34,semantic,1,2,coral,tread_only,128,0.3149583692219351,0.390625,-0.4384064013842148
unet_r34-f1-s2,unet_r34,semantic,1,2,coral,tyre_tread_equal,128,0.3048749775139414,0.3828125,-0.44848979309220854
unet_r34-f1-s2,unet_r34,semantic,1,2,coral,full_tyre_tread_equal,128,0.35609680953033,0.421875,-0.3972679610758199
unet_r34-f1-s3,unet_r34,semantic,1,3,coral,full,128,0.7396825396825397,0.875,0.0
unet_r34-f1-s3,unet_r34,semantic,1,3,coral,tyre_only,128,0.9887863247863248,0.9921875,0.24910378510378506
unet_r34-f1-s3,unet_r34,semantic,1,3,coral,tread_only,128,0.9887863247863248,0.9921875,0.24910378510378506
unet_r34-f1-s3,unet_r34,semantic,1,3,coral,tyre_tread_equal,128,1.0,1.0,0.2603174603174603
unet_r34-f1-s3,unet_r34,semantic,1,3,coral,full_tyre_tread_equal,128,0.9650989572249414,0.9765625,0.22541641754240171
unet_r34-f2-s1,unet_r34,semantic,2,1,coral,full,104,1.0,1.0,0.0
unet_r34-f2-s1,unet_r34,semantic,2,1,coral,tyre_only,104,1.0,1.0,0.0
unet_r34-f2-s1,unet_r34,semantic,2,1,coral,tread_only,104,1.0,1.0,0.0
unet_r34-f2-s1,unet_r34,semantic,2,1,coral,tyre_tread_equal,104,1.0,1.0,0.0
